iter	Passed	Remaining
906	1902	195
907	1904	192
908	1906	190
909	1908	188
910	1910	186
911	1912	184
912	1914	182
913	1916	180
914	1918	178
915	1920	176
916	1923	174
917	1925	172
918	1927	169
919	1929	167
920	1931	165
921	1933	163
922	1935	161
923	1937	159
924	1940	157
925	1942	155
926	1944	153
927	1946	150
928	1948	148
929	1950	146
930	1952	144
931	1954	142
932	1956	140
933	1958	138
934	1960	136
935	1962	134
936	1964	132
937	1966	129
938	1968	127
939	1970	125
940	1972	123
941	1975	121
942	1977	119
943	1979	117
944	1981	115
945	1983	113
946	1985	111
947	1987	109
948	1989	106
949	1992	104
950	1994	102
951	1996	100
952	1998	98
953	2000	96
954	2002	94
955	2004	92
956	2006	90
957	2008	88
958	2010	85
959	2012	83
960	2015	81
961	2017	79
962	2019	77
963	2021	75
964	2023	73
965	2025	71
966	2027	69
967	2029	67
968	2031	64
969	2033	62
970	2035	60
971	2037	58
972	2039	56
973	2042	54
974	2044	52
975	2046	50
976	2049	48
977	2051	46
978	2053	44
979	2056	41
980	2058	39
981	2060	37
982	2062	35
983	2064	33
984	2066	31
985	2068	29
986	2070	27
987	2072	25
988	2074	23
989	2076	20
990	2078	18
991	2080	16
992	2082	14
993	2084	12
994	2087	10
995	2089	8
996	2091	6
997	2093	4
998	2095	2
999	2097	0
